left daughter	right daughter	split var	split point	status	prediction	nodeid	treeid
0.0	0.0	NA	0.0	-1.0	pass	23	2
34.0	35.0	Medu	0.375	1.0	NA	24	2
0.0	0.0	NA	0.0	-1.0	fail	25	2
0.0	0.0	NA	0.0	-1.0	pass	26	2
0.0	0.0	NA	0.0	-1.0	fail	27	2
36.0	37.0	absences	0.10666666666666667	1.0	NA	28	2
0.0	0.0	NA	0.0	-1.0	fail	29	2
38.0	39.0	absences	0.16	1.0	NA	30	2
0.0	0.0	NA	0.0	-1.0	fail	31	2
0.0	0.0	NA	0.0	-1.0	pass	32	2
0.0	0.0	NA	0.0	-1.0	fail	33	2
40.0	41.0	reason	6.0	1.0	NA	34	2
42.0	43.0	internet	1.0	1.0	NA	35	2
0.0	0.0	NA	0.0	-1.0	pass	36	2
0.0	0.0	NA	0.0	-1.0	fail	37	2
44.0	45.0	goout	0.625	1.0	NA	38	2
46.0	47.0	paid	1.0	1.0	NA	39	2
0.0	0.0	NA	0.0	-1.0	pass	40	2
48.0	49.0	freetime	0.875	1.0	NA	41	2
0.0	0.0	NA	0.0	-1.0	pass	42	2
50.0	51.0	reason	6.0	1.0	NA	43	2
0.0	0.0	NA	0.0	-1.0	pass	44	2
0.0	0.0	NA	0.0	-1.0	fail	45	2
52.0	53.0	failures	0.16666666666666666	1.0	NA	46	2
0.0	0.0	NA	0.0	-1.0	fail	47	2
54.0	55.0	Walc	0.875	1.0	NA	48	2
0.0	0.0	NA	0.0	-1.0	pass	49	2
56.0	57.0	Pstatus	1.0	1.0	NA	50	2
0.0	0.0	NA	0.0	-1.0	fail	51	2
0.0	0.0	NA	0.0	-1.0	fail	52	2
0.0	0.0	NA	0.0	-1.0	pass	53	2
0.0	0.0	NA	0.0	-1.0	fail	54	2
0.0	0.0	NA	0.0	-1.0	pass	55	2
0.0	0.0	NA	0.0	-1.0	fail	56	2
58.0	59.0	famrel	0.625	1.0	NA	57	2
0.0	0.0	NA	0.0	-1.0	fail	58	2
0.0	0.0	NA	0.0	-1.0	pass	59	2
2.0	3.0	sex	1.0	1.0	NA	1	3
4.0	5.0	health	0.125	1.0	NA	2	3
6.0	7.0	failures	0.5	1.0	NA	3	3
8.0	9.0	schoolsup	1.0	1.0	NA	4	3
10.0	11.0	absences	0.006666666666666667	1.0	NA	5	3
12.0	13.0	G1	0.40625	1.0	NA	6	3
14.0	15.0	G1	0.28125	1.0	NA	7	3
16.0	17.0	failures	0.5	1.0	NA	8	3
0.0	0.0	NA	0.0	-1.0	fail	9	3
18.0	19.0	G2	0.5263157894736842	1.0	NA	10	3
20.0	21.0	famrel	0.125	1.0	NA	11	3
22.0	23.0	schoolsup	1.0	1.0	NA	12	3
24.0	25.0	Medu	0.875	1.0	NA	13	3
0.0	0.0	NA	0.0	-1.0	fail	14	3
0.0	0.0	NA	0.0	-1.0	pass	15	3
26.0	27.0	famrel	0.875	1.0	NA	16	3
0.0	0.0	NA	0.0	-1.0	fail	17	3
28.0	29.0	freetime	0.875	1.0	NA	18	3
0.0	0.0	NA	0.0	-1.0	pass	19	3
0.0	0.0	NA	0.0	-1.0	fail	20	3
30.0	31.0	studytime	0.8333333333333333	1.0	NA	21	3
32.0	33.0	G1	0.28125	1.0	NA	22	3
34.0	35.0	famrel	0.875	1.0	NA	23	3
36.0	37.0	reason	1.0	1.0	NA	24	3
38.0	39.0	Mjob	14.0	1.0	NA	25	3
0.0	0.0	NA	0.0	-1.0	pass	26	3
40.0	41.0	reason	6.0	1.0	NA	27	3
0.0	0.0	NA	0.0	-1.0	fail	28	3
0.0	0.0	NA	0.0	-1.0	pass	29	3
42.0	43.0	goout	0.875	1.0	NA	30	3
0.0	0.0	NA	0.0	-1.0	pass	31	3
0.0	0.0	NA	0.0	-1.0	fail	32	3
44.0	45.0	G2	0.4473684210526315	1.0	NA	33	3
0.0	0.0	NA	0.0	-1.0	fail	34	3
0.0	0.0	NA	0.0	-1.0	pass	35	3
46.0	47.0	age	0.07142857142857142	1.0	NA	36	3
0.0	0.0	NA	0.0	-1.0	pass	37	3
0.0	0.0	NA	0.0	-1.0	pass	38	3
48.0	49.0	G1	0.59375	1.0	NA	39	3
0.0	0.0	NA	0.0	-1.0	pass	40	3
0.0	0.0	NA	0.0	-1.0	fail	41	3
50.0	51.0	internet	1.0	1.0	NA	42	3
52.0	53.0	Medu	0.875	1.0	NA	43	3
0.0	0.0	NA	0.0	-1.0	fail	44	3
54.0	55.0	Dalc	0.125	1.0	NA	45	3
56.0	57.0	goout	0.5	1.0	NA	46	3
0.0	0.0	NA	0.0	-1.0	pass	47	3
58.0	59.0	Dalc	0.125	1.0	NA	48	3
0.0	0.0	NA	0.0	-1.0	pass	49	3
60.0	61.0	address	1.0	1.0	NA	50	3
62.0	63.0	goout	0.625	1.0	NA	51	3
0.0	0.0	NA	0.0	-1.0	pass	52	3
64.0	65.0	G2	0.631578947368421	1.0	NA	53	3
0.0	0.0	NA	0.0	-1.0	fail	54	3
0.0	0.0	NA	0.0	-1.0	pass	55	3
0.0	0.0	NA	0.0	-1.0	pass	56	3
0.0	0.0	NA	0.0	-1.0	fail	57	3
66.0	67.0	Walc	0.375	1.0	NA	58	3
0.0	0.0	NA	0.0	-1.0	fail	59	3
0.0	0.0	NA	0.0	-1.0	pass	60	3
68.0	69.0	G1	0.375	1.0	NA	61	3
70.0	71.0	Mjob	11.0	1.0	NA	62	3
72.0	73.0	freetime	0.375	1.0	NA	63	3
0.0	0.0	NA	0.0	-1.0	fail	64	3
0.0	0.0	NA	0.0	-1.0	pass	65	3
0.0	0.0	NA	0.0	-1.0	pass	66	3
0.0	0.0	NA	0.0	-1.0	fail	67	3
74.0	75.0	activities	1.0	1.0	NA	68	3
0.0	0.0	NA	0.0	-1.0	fail	69	3
76.0	77.0	goout	0.375	1.0	NA	70	3
78.0	79.0	G1	0.34375	1.0	NA	71	3
0.0	0.0	NA	0.0	-1.0	pass	72	3
80.0	81.0	G1	0.46875	1.0	NA	73	3
0.0	0.0	NA	0.0	-1.0	fail	74	3
0.0	0.0	NA	0.0	-1.0	pass	75	3
0.0	0.0	NA	0.0	-1.0	pass	76	3
82.0	83.0	G1	0.34375	1.0	NA	77	3
84.0	85.0	health	0.625	1.0	NA	78	3
86.0	87.0	famrel	0.875	1.0	NA	79	3
0.0	0.0	NA	0.0	-1.0	fail	80	3
0.0	0.0	NA	0.0	-1.0	pass	81	3
0.0	0.0	NA	0.0	-1.0	fail	82	3
88.0	89.0	Dalc	0.375	1.0	NA	83	3
90.0	91.0	nursery	1.0	1.0	NA	84	3
0.0	0.0	NA	0.0	-1.0	fail	85	3
92.0	93.0	G2	0.5	1.0	NA	86	3
0.0	0.0	NA	0.0	-1.0	fail	87	3
0.0	0.0	NA	0.0	-1.0	pass	88	3
0.0	0.0	NA	0.0	-1.0	fail	89	3
0.0	0.0	NA	0.0	-1.0	pass	90	3
0.0	0.0	NA	0.0	-1.0	fail	91	3
0.0	0.0	NA	0.0	-1.0	fail	92	3
94.0	95.0	failures	0.16666666666666666	1.0	NA	93	3
0.0	0.0	NA	0.0	-1.0	pass	94	3
0.0	0.0	NA	0.0	-1.0	fail	95	3
2.0	3.0	goout	0.625	1.0	NA	1	4
4.0	5.0	G1	0.40625	1.0	NA	2	4
6.0	7.0	Mjob	5.0	1.0	NA	3	4
8.0	9.0	G2	0.39473684210526316	1.0	NA	4	4
10.0	11.0	G2	0.5	1.0	NA	5	4
12.0	13.0	romantic	1.0	1.0	NA	6	4
14.0	15.0	freetime	0.375	1.0	NA	7	4
0.0	0.0	NA	0.0	-1.0	fail	8	4
16.0	17.0	famsup	1.0	1.0	NA	9	4
18.0	19.0	G1	0.46875	1.0	NA	10	4
20.0	21.0	guardian	1.0	1.0	NA	11	4
22.0	23.0	traveltime	0.16666666666666666	1.0	NA	12	4
24.0	25.0	failures	0.16666666666666666	1.0	NA	13	4
26.0	27.0	age	0.21428571428571427	1.0	NA	14	4
28.0	29.0	G1	0.40625	1.0	NA	15	4
30.0	31.0	Medu	0.625	1.0	NA	16	4
32.0	33.0	freetime	0.625	1.0	NA	17	4
0.0	0.0	NA	0.0	-1.0	fail	18	4
34.0	35.0	Walc	0.25	1.0	NA	19	4
36.0	37.0	activities	1.0	1.0	NA	20	4
0.0	0.0	NA	0.0	-1.0	pass	21	4
38.0	39.0	failures	0.16666666666666666	1.0	NA	22	4
40.0	41.0	age	0.3571428571428571	1.0	NA	23	4
42.0	43.0	traveltime	0.6666666666666666	1.0	NA	24	4
0.0	0.0	NA	0.0	-1.0	fail	25	4
0.0	0.0	NA	0.0	-1.0	pass	26	4
0.0	0.0	NA	0.0	-1.0	fail	27	4
44.0	45.0	traveltime	0.5	1.0	NA	28	4
46.0	47.0	goout	0.875	1.0	NA	29	4
0.0	0.0	NA	0.0	-1.0	fail	30	4
48.0	49.0	Fedu	0.5	1.0	NA	31	4
50.0	51.0	Walc	0.625	1.0	NA	32	4
52.0	53.0	Walc	0.375	1.0	NA	33	4
0.0	0.0	NA	0.0	-1.0	fail	34	4
0.0	0.0	NA	0.0	-1.0	pass	35	4
0.0	0.0	NA	0.0	-1.0	pass	36	4
54.0	55.0	Fjob	1.0	1.0	NA	37	4
56.0	57.0	Walc	0.125	1.0	NA	38	4
0.0	0.0	NA	0.0	-1.0	fail	39	4
58.0	59.0	G2	0.631578947368421	1.0	NA	40	4
60.0	61.0	absences	0.06666666666666667	1.0	NA	41	4
62.0	63.0	G2	0.4473684210526315	1.0	NA	42	4
0.0	0.0	NA	0.0	-1.0	pass	43	4
64.0	65.0	Walc	0.375	1.0	NA	44	4
0.0	0.0	NA	0.0	-1.0	pass	45	4
0.0	0.0	NA	0.0	-1.0	pass	46	4
66.0	67.0	G1	0.53125	1.0	NA	47	4
0.0	0.0	NA	0.0	-1.0	fail	48	4
0.0	0.0	NA	0.0	-1.0	pass	49	4
68.0	69.0	G2	0.5	1.0	NA	50	4
0.0	0.0	NA	0.0	-1.0	pass	51	4
0.0	0.0	NA	0.0	-1.0	pass	52	4
0.0	0.0	NA	0.0	-1.0	fail	53	4
0.0	0.0	NA	0.0	-1.0	fail	54	4
70.0	71.0	age	0.3571428571428571	1.0	NA	55	4
0.0	0.0	NA	0.0	-1.0	fail	56	4
72.0	73.0	Walc	0.625	1.0	NA	57	4
0.0	0.0	NA	0.0	-1.0	fail	58	4
0.0	0.0	NA	0.0	-1.0	pass	59	4
0.0	0.0	NA	0.0	-1.0	fail	60	4
0.0	0.0	NA	0.0	-1.0	pass	61	4
0.0	0.0	NA	0.0	-1.0	fail	62	4
74.0	75.0	absences	0.07333333333333333	1.0	NA	63	4
0.0	0.0	NA	0.0	-1.0	fail	64	4
76.0	77.0	failures	0.16666666666666666	1.0	NA	65	4
78.0	79.0	Mjob	10.0	1.0	NA	66	4
0.0	0.0	NA	0.0	-1.0	pass	67	4
80.0	81.0	Mjob	15.0	1.0	NA	68	4
82.0	83.0	traveltime	0.16666666666666666	1.0	NA	69	4
0.0	0.0	NA	0.0	-1.0	pass	70	4
0.0	0.0	NA	0.0	-1.0	fail	71	4
84.0	85.0	Mjob	1.0	1.0	NA	72	4
86.0	87.0	G2	0.42105263157894735	1.0	NA	73	4
0.0	0.0	NA	0.0	-1.0	pass	74	4
0.0	0.0	NA	0.0	-1.0	fail	75	4
88.0	89.0	Pstatus	1.0	1.0	NA	76	4
0.0	0.0	NA	0.0	-1.0	fail	77	4
0.0	0.0	NA	0.0	-1.0	pass	78	4
90.0	91.0	absences	0.2	1.0	NA	79	4
0.0	0.0	NA	0.0	-1.0	fail	80	4
0.0	0.0	NA	0.0	-1.0	pass	81	4
92.0	93.0	famsize	1.0	1.0	NA	82	4
0.0	0.0	NA	0.0	-1.0	pass	83	4
94.0	95.0	internet	1.0	1.0	NA	84	4
0.0	0.0	NA	0.0	-1.0	pass	85	4
0.0	0.0	NA	0.0	-1.0	fail	86	4
0.0	0.0	NA	0.0	-1.0	pass	87	4
0.0	0.0	NA	0.0	-1.0	fail	88	4
0.0	0.0	NA	0.0	-1.0	pass	89	4
0.0	0.0	NA	0.0	-1.0	fail	90	4
0.0	0.0	NA	0.0	-1.0	pass	91	4
96.0	97.0	absences	0.013333333333333334	1.0	NA	92	4
0.0	0.0	NA	0.0	-1.0	fail	93	4
0.0	0.0	NA	0.0	-1.0	fail	94	4
0.0	0.0	NA	0.0	-1.0	pass	95	4
0.0	0.0	NA	0.0	-1.0	fail	96	4
0.0	0.0	NA	0.0	-1.0	pass	97	4
2.0	3.0	reason	3.0	1.0	NA	1	5
4.0	5.0	freetime	0.375	1.0	NA	2	5
6.0	7.0	Mjob	11.0	1.0	NA	3	5
8.0	9.0	Mjob	12.0	1.0	NA	4	5
10.0	11.0	goout	0.375	1.0	NA	5	5
12.0	13.0	studytime	0.5	1.0	NA	6	5
14.0	15.0	Fjob	14.0	1.0	NA	7	5
16.0	17.0	G1	0.53125	1.0	NA	8	5
0.0	0.0	NA	0.0	-1.0	pass	9	5
18.0	19.0	famrel	0.625	1.0	NA	10	5
20.0	21.0	G2	0.5	1.0	NA	11	5
22.0	23.0	famrel	0.375	1.0	NA	12	5
0.0	0.0	NA	0.0	-1.0	pass	13	5
24.0	25.0	famsup	1.0	1.0	NA	14	5
0.0	0.0	NA	0.0	-1.0	pass	15	5
26.0	27.0	absences	0.04	1.0	NA	16	5
0.0	0.0	NA	0.0	-1.0	pass	17	5
28.0	29.0	Mjob	7.0	1.0	NA	18	5
30.0	31.0	traveltime	0.6666666666666666	1.0	NA	19	5
32.0	33.0	guardian	1.0	1.0	NA	20	5
34.0	35.0	G1	0.46875	1.0	NA	21	5
36.0	37.0	traveltime	0.16666666666666666	1.0	NA	22	5
38.0	39.0	Dalc	0.625	1.0	NA	23	5
40.0	41.0	schoolsup	1.0	1.0	NA	24	5
42.0	43.0	health	0.375	1.0	NA	25	5
0.0	0.0	NA	0.0	-1.0	pass	26	5
0.0	0.0	NA	0.0	-1.0	fail	27	5
44.0	45.0	sex	1.0	1.0	NA	28	5
46.0	47.0	G2	0.5263157894736842	1.0	NA	29	5
48.0	49.0	Dalc	0.125	1.0	NA	30	5
0.0	0.0	NA	0.0	-1.0	fail	31	5
50.0	51.0	G1	0.34375	1.0	NA	32	5
52.0	53.0	famrel	0.875	1.0	NA	33	5
54.0	55.0	Fjob	4.0	1.0	NA	34	5
0.0	0.0	NA	0.0	-1.0	pass	35	5
0.0	0.0	NA	0.0	-1.0	pass	36	5
0.0	0.0	NA	0.0	-1.0	fail	37	5
56.0	57.0	G1	0.28125	1.0	NA	38	5
0.0	0.0	NA	0.0	-1.0	fail	39	5
58.0	59.0	goout	0.375	1.0	NA	40	5
0.0	0.0	NA	0.0	-1.0	fail	41	5
60.0	61.0	famrel	0.875	1.0	NA	42	5
62.0	63.0	address	1.0	1.0	NA	43	5
0.0	0.0	NA	0.0	-1.0	fail	44	5
64.0	65.0	Fjob	1.0	1.0	NA	45	5
0.0	0.0	NA	0.0	-1.0	fail	46	5
0.0	0.0	NA	0.0	-1.0	pass	47	5
66.0	67.0	studytime	0.5	1.0	NA	48	5
0.0	0.0	NA	0.0	-1.0	fail	49	5
0.0	0.0	NA	0.0	-1.0	fail	50	5
0.0	0.0	NA	0.0	-1.0	pass	51	5
68.0	69.0	traveltime	0.8333333333333333	1.0	NA	52	5
70.0	71.0	sex	1.0	1.0	NA	53	5
72.0	73.0	absences	0.1	1.0	NA	54	5
74.0	75.0	Fedu	0.875	1.0	NA	55	5
76.0	77.0	failures	0.8333333333333333	1.0	NA	56	5
78.0	79.0	G1	0.40625	1.0	NA	57	5
0.0	0.0	NA	0.0	-1.0	pass	58	5
80.0	81.0	internet	1.0	1.0	NA	59	5
0.0	0.0	NA	0.0	-1.0	pass	60	5
0.0	0.0	NA	0.0	-1.0	fail	61	5
0.0	0.0	NA	0.0	-1.0	fail	62	5
82.0	83.0	age	0.42857142857142855	1.0	NA	63	5
0.0	0.0	NA	0.0	-1.0	pass	64	5
0.0	0.0	NA	0.0	-1.0	fail	65	5
0.0	0.0	NA	0.0	-1.0	pass	66	5
84.0	85.0	Medu	0.625	1.0	NA	67	5
0.0	0.0	NA	0.0	-1.0	fail	68	5
0.0	0.0	NA	0.0	-1.0	pass	69	5
86.0	87.0	goout	0.875	1.0	NA	70	5
0.0	0.0	NA	0.0	-1.0	fail	71	5
0.0	0.0	NA	0.0	-1.0	pass	72	5
88.0	89.0	famrel	0.625	1.0	NA	73	5
0.0	0.0	NA	0.0	-1.0	pass	74	5
0.0	0.0	NA	0.0	-1.0	fail	75	5
0.0	0.0	NA	0.0	-1.0	fail	76	5
0.0	0.0	NA	0.0	-1.0	pass	77	5
90.0	91.0	Medu	0.625	1.0	NA	78	5
0.0	0.0	NA	0.0	-1.0	pass	79	5
0.0	0.0	NA	0.0	-1.0	pass	80	5
92.0	93.0	romantic	1.0	1.0	NA	81	5
94.0	95.0	freetime	0.875	1.0	NA	82	5
0.0	0.0	NA	0.0	-1.0	fail	83	5
96.0	97.0	Fedu	0.875	1.0	NA	84	5
0.0	0.0	NA	0.0	-1.0	pass	85	5
98.0	99.0	Medu	0.375	1.0	NA	86	5
0.0	0.0	NA	0.0	-1.0	pass	87	5
0.0	0.0	NA	0.0	-1.0	pass	88	5
0.0	0.0	NA	0.0	-1.0	fail	89	5
0.0	0.0	NA	0.0	-1.0	fail	90	5
0.0	0.0	NA	0.0	-1.0	pass	91	5
100.0	101.0	freetime	0.875	1.0	NA	92	5
102.0	103.0	studytime	0.6666666666666666	1.0	NA	93	5
104.0	105.0	famsize	1.0	1.0	NA	94	5
0.0	0.0	NA	0.0	-1.0	fail	95	5
0.0	0.0	NA	0.0	-1.0	pass	96	5
0.0	0.0	NA	0.0	-1.0	fail	97	5
0.0	0.0	NA	0.0	-1.0	pass	98	5
0.0	0.0	NA	0.0	-1.0	fail	99	5
106.0	107.0	G2	0.39473684210526316	1.0	NA	100	5
0.0	0.0	NA	0.0	-1.0	fail	101	5
0.0	0.0	NA	0.0	-1.0	fail	102	5
0.0	0.0	NA	0.0	-1.0	pass	103	5
0.0	0.0	NA	0.0	-1.0	pass	104	5
108.0	109.0	G2	0.6052631578947368	1.0	NA	105	5
0.0	0.0	NA	0.0	-1.0	fail	106	5
0.0	0.0	NA	0.0	-1.0	pass	107	5
110.0	111.0	Medu	0.875	1.0	NA	108	5
0.0	0.0	NA	0.0	-1.0	pass	109	5
0.0	0.0	NA	0.0	-1.0	fail	110	5
112.0	113.0	freetime	0.375	1.0	NA	111	5
0.0	0.0	NA	0.0	-1.0	fail	112	5
0.0	0.0	NA	0.0	-1.0	pass	113	5
2.0	3.0	G2	0.5	1.0	NA	1	6
4.0	5.0	Mjob	4.0	1.0	NA	2	6
6.0	7.0	freetime	0.375	1.0	NA	3	6
0.0	0.0	NA	0.0	-1.0	fail	4	6
8.0	9.0	Fjob	4.0	1.0	NA	5	6
0.0	0.0	NA	0.0	-1.0	pass	6	6
10.0	11.0	Dalc	0.125	1.0	NA	7	6
12.0	13.0	famsup	1.0	1.0	NA	8	6
14.0	15.0	Dalc	0.375	1.0	NA	9	6
16.0	17.0	G2	0.5526315789473684	1.0	NA	10	6
18.0	19.0	Dalc	0.375	1.0	NA	11	6
20.0	21.0	higher	1.0	1.0	NA	12	6
22.0	23.0	G1	0.34375	1.0	NA	13	6
0.0	0.0	NA	0.0	-1.0	fail	14	6
24.0	25.0	sex	1.0	1.0	NA	15	6
26.0	27.0	age	0.3571428571428571	1.0	NA	16	6
28.0	29.0	traveltime	0.16666666666666666	1.0	NA	17	6
30.0	31.0	Mjob	15.0	1.0	NA	18	6
0.0	0.0	NA	0.0	-1.0	pass	19	6
0.0	0.0	NA	0.0	-1.0	fail	20	6
32.0	33.0	Mjob	9.0	1.0	NA	21	6
0.0	0.0	NA	0.0	-1.0	fail	22	6
34.0	35.0	health	0.75	1.0	NA	23	6
0.0	0.0	NA	0.0	-1.0	fail	24	6
36.0	37.0	G2	0.39473684210526316	1.0	NA	25	6
38.0	39.0	freetime	0.625	1.0	NA	26	6
40.0	41.0	schoolsup	1.0	1.0	NA	27	6
0.0	0.0	NA	0.0	-1.0	pass	28	6
42.0	43.0	Fedu	0.625	1.0	NA	29	6
44.0	45.0	absences	0.17333333333333334	1.0	NA	30	6
46.0	47.0	absences	0.05333333333333334	1.0	NA	31	6
48.0	49.0	reason	1.0	1.0	NA	32	6
0.0	0.0	NA	0.0	-1.0	fail	33	6
50.0	51.0	studytime	0.16666666666666666	1.0	NA	34	6
0.0	0.0	NA	0.0	-1.0	pass	35	6
0.0	0.0	NA	0.0	-1.0	fail	36	6
0.0	0.0	NA	0.0	-1.0	pass	37	6
0.0	0.0	NA	0.0	-1.0	pass	38	6
52.0	53.0	G1	0.40625	1.0	NA	39	6
0.0	0.0	NA	0.0	-1.0	fail	40	6
0.0	0.0	NA	0.0	-1.0	pass	41	6
0.0	0.0	NA	0.0	-1.0	pass	42	6
54.0	55.0	age	0.07142857142857142	1.0	NA	43	6
0.0	0.0	NA	0.0	-1.0	pass	44	6
56.0	57.0	failures	0.16666666666666666	1.0	NA	45	6
0.0	0.0	NA	0.0	-1.0	fail	46	6
0.0	0.0	NA	0.0	-1.0	pass	47	6
0.0	0.0	NA	0.0	-1.0	fail	48	6
0.0	0.0	NA	0.0	-1.0	pass	49	6
0.0	0.0	NA	0.0	-1.0	pass	50	6
0.0	0.0	NA	0.0	-1.0	fail	51	6
58.0	59.0	Walc	0.25	1.0	NA	52	6
0.0	0.0	NA	0.0	-1.0	pass	53	6
0.0	0.0	NA	0.0	-1.0	pass	54	6
60.0	61.0	goout	0.75	1.0	NA	55	6
0.0	0.0	NA	0.0	-1.0	pass	56	6
0.0	0.0	NA	0.0	-1.0	fail	57	6
0.0	0.0	NA	0.0	-1.0	fail	58	6
0.0	0.0	NA	0.0	-1.0	pass	59	6
0.0	0.0	NA	0.0	-1.0	pass	60	6
0.0	0.0	NA	0.0	-1.0	fail	61	6
2.0	3.0	G1	0.46875	1.0	NA	1	7
4.0	5.0	G2	0.5	1.0	NA	2	7
6.0	7.0	Mjob	1.0	1.0	NA	3	7
8.0	9.0	absences	0.14666666666666667	1.0	NA	4	7
10.0	11.0	Walc	0.375	1.0	NA	5	7
12.0	13.0	traveltime	0.16666666666666666	1.0	NA	6	7
14.0	15.0	G1	0.53125	1.0	NA	7	7
16.0	17.0	Medu	0.375	1.0	NA	8	7
0.0	0.0	NA	0.0	-1.0	fail	9	7
18.0	19.0	age	0.07142857142857142	1.0	NA	10	7
0.0	0.0	NA	0.0	-1.0	pass	11	7
20.0	21.0	failures	0.16666666666666666	1.0	NA	12	7
0.0	0.0	NA	0.0	-1.0	pass	13	7
22.0	23.0	G2	0.5	1.0	NA	14	7
0.0	0.0	NA	0.0	-1.0	pass	15	7
